Time,Value
2024-04-24 01:00:01+00:00,3242.392144927
2024-04-24 01:00:11+00:00,3242.9291913875
2024-04-24 01:00:21+00:00,3242.9466273245
2024-04-24 01:00:31+00:00,3242.2602087075
2024-04-24 01:00:41+00:00,3242.3340007415
2024-04-24 01:00:51+00:00,3242.3030867449997
2024-04-24 01:01:01+00:00,3242.4657671779996
2024-04-24 01:01:11+00:00,3242.8087730680004
2024-04-24 01:01:21+00:00,3243.3464152485003
2024-04-24 01:01:31+00:00,3243.60815441
2024-04-24 01:01:41+00:00,3243.3589982515
2024-04-24 01:01:51+00:00,3243.601569911
2024-04-24 01:02:01+00:00,3244.1930921569997
2024-04-24 01:02:11+00:00,3244.6715123865006
2024-04-24 01:02:21+00:00,3244.8898874945
2024-04-24 01:02:31+00:00,3245.3241176079996
2024-04-24 01:02:41+00:00,3245.64563971
2024-04-24 01:02:51+00:00,3246.206403758
2024-04-24 01:03:01+00:00,3246.5266983155007
2024-04-24 01:03:11+00:00,3247.0348168019996
2024-04-24 01:03:21+00:00,3247.591083161
2024-04-24 01:03:31+00:00,3247.9913565095
2024-04-24 01:03:41+00:00,3248.1091704295004
2024-04-24 01:03:51+00:00,3248.633582945
2024-04-24 01:04:01+00:00,3248.4066998805
2024-04-24 01:04:11+00:00,3248.1684068794993
2024-04-24 01:04:21+00:00,3248.4991082005
2024-04-24 01:04:31+00:00,3248.4791852464996
2024-04-24 01:04:41+00:00,3248.8472147429993
2024-04-24 01:04:51+00:00,3248.8600839144997
2024-04-24 01:05:01+00:00,3248.4393060965003
2024-04-24 01:05:11+00:00,3248.1749753345002
2024-04-24 01:05:21+00:00,3247.920387526
2024-04-24 01:05:31+00:00,3247.4131436535
2024-04-24 01:05:41+00:00,3246.8802153469996
2024-04-24 01:05:51+00:00,3246.560643629001
2024-04-24 01:06:01+00:00,3246.5645841269998
2024-04-24 01:06:11+00:00,3246.5072776915003
2024-04-24 01:06:21+00:00,3245.9774874105
2024-04-24 01:06:31+00:00,3245.6621786460005
2024-04-24 01:06:41+00:00,3247.067495753
2024-04-24 01:06:51+00:00,3247.6841207755
2024-04-24 01:07:01+00:00,3247.894489896
2024-04-24 01:07:11+00:00,3247.242148823
2024-04-24 01:07:21+00:00,3247.0911846410004
2024-04-24 01:07:31+00:00,3246.7194016210005
2024-04-24 01:07:41+00:00,3246.8173176775003
2024-04-24 01:07:51+00:00,3247.7970965565
2024-04-24 01:08:01+00:00,3247.3845873665
2024-04-24 01:08:11+00:00,3246.8047481149997
2024-04-24 01:08:21+00:00,3246.940140742
2024-04-24 01:08:31+00:00,3246.451704796
2024-04-24 01:08:41+00:00,3244.966390267
2024-04-24 01:08:51+00:00,3245.0288606884997
2024-04-24 01:09:01+00:00,3245.0142151229993
2024-04-24 01:09:11+00:00,3245.199922418
2024-04-24 01:09:21+00:00,3245.3706010855
2024-04-24 01:09:31+00:00,3245.2027457705
2024-04-24 01:09:41+00:00,3245.0259089504993
2024-04-24 01:09:51+00:00,3244.408860512
2024-04-24 01:10:01+00:00,3243.8939891485
2024-04-24 01:10:11+00:00,3244.1616075545
2024-04-24 01:10:21+00:00,3244.663678082
2024-04-24 01:10:31+00:00,3244.778443658
2024-04-24 01:10:41+00:00,3245.0643781379995
2024-04-24 01:10:51+00:00,3245.089238247999
2024-04-24 01:11:01+00:00,3245.3848834110004
2024-04-24 01:11:11+00:00,3246.0562095069995
2024-04-24 01:11:21+00:00,3245.4124146429995
2024-04-24 01:11:31+00:00,3245.0180427215005
2024-04-24 01:11:41+00:00,3245.0212629099997
2024-04-24 01:11:51+00:00,3245.5639028060004
2024-04-24 01:12:01+00:00,3245.9341953939997
2024-04-24 01:12:11+00:00,3245.9065377214997
2024-04-24 01:12:21+00:00,3247.2972325095006
2024-04-24 01:12:31+00:00,3247.2524277420007
2024-04-24 01:12:41+00:00,3246.7964208445
2024-04-24 01:12:51+00:00,3246.8197293985004
2024-04-24 01:13:01+00:00,3246.7227571904996
2024-04-24 01:13:11+00:00,3246.1590184095007
2024-04-24 01:13:21+00:00,3245.6395962745
2024-04-24 01:13:31+00:00,3245.1972072375
2024-04-24 01:13:41+00:00,3244.6860659239996
2024-04-24 01:13:51+00:00,3243.246641338
2024-04-24 01:14:01+00:00,3242.4748354784997
2024-04-24 01:14:11+00:00,3242.4658082005003
2024-04-24 01:14:21+00:00,3242.4932255795
2024-04-24 01:14:31+00:00,3243.396664631
2024-04-24 01:14:41+00:00,3243.0168300059995
2024-04-24 01:14:51+00:00,3242.8687690295
2024-04-24 01:15:01+00:00,3242.4164268275003
2024-04-24 01:15:11+00:00,3241.6139882234997
2024-04-24 01:15:21+00:00,3241.4565827099996
2024-04-24 01:15:31+00:00,3241.1570182279997
2024-04-24 01:15:41+00:00,3241.5632582364997
2024-04-24 01:15:51+00:00,3242.2696485600004
2024-04-24 01:16:01+00:00,3242.464729859
2024-04-24 01:16:11+00:00,3243.047701589
2024-04-24 01:16:21+00:00,3243.6880185630002
2024-04-24 01:16:31+00:00,3243.921836732
2024-04-24 01:16:41+00:00,3243.034953813499
2024-04-24 01:16:51+00:00,3242.9141653859997
2024-04-24 01:17:01+00:00,3242.8287637814997
2024-04-24 01:17:11+00:00,3243.7079267255003
2024-04-24 01:17:21+00:00,3243.8551359975004
2024-04-24 01:17:31+00:00,3243.906395719999
2024-04-24 01:17:41+00:00,3243.6693814365
2024-04-24 01:17:51+00:00,3243.3682259365
2024-04-24 01:18:01+00:00,3243.348712306
2024-04-24 01:18:11+00:00,3243.6343805025
2024-04-24 01:18:21+00:00,3243.8947961965
2024-04-24 01:18:31+00:00,3244.0751347760006
2024-04-24 01:18:41+00:00,3243.8182277605006
2024-04-24 01:18:51+00:00,3243.9564812779995
2024-04-24 01:19:01+00:00,3243.9514928719996
2024-04-24 01:19:11+00:00,3243.41690165
2024-04-24 01:19:21+00:00,3243.6098966145005
2024-04-24 01:19:31+00:00,3243.8371380954995
2024-04-24 01:19:41+00:00,3244.1173383064997
2024-04-24 01:19:51+00:00,3244.222121568
2024-04-24 01:20:01+00:00,3243.385437509
2024-04-24 01:20:11+00:00,3243.2031395820004
2024-04-24 01:20:21+00:00,3243.1686569254994
