DEX,TokenA,TokenB,Pool Address

Balancer V2,OHM,ETH,0xd1ec5e215e8148d76f4460e4097fd3d5ae0a3558
Balancer V2,OHM,DAI,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9
Curve,ALETH,ETH,0xc4c319e2d4d66cca4464c0c2b32c9bd23ebe784e
