DEX,TokenA,TokenB,Pool Address,Price Token B in A,Price Token A in B,Pool Size,Slip$10kAtoB,Slip$10kBtoA

Curve,crvUSD,FRAX,0x0CD6f267b2086bea681E922E19D40512511BE538,1.0050744852543096,0.9947519985055696,3385281,-0.007929,-0.007773
Curve,USDe,FRAX,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0.9955769003403407,1.0042139537810626,16553271,-0.001146,-0.001160
Curve,FRAX,USDC,0xDcEF968d416a41Cdac0ED8702fAC8128A64241A2,1.001574126154322,0.9982286092896724,57750366,-0.000143,-0.000149
Curve,DAI,USDC,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,0.9998538406926876,0.9999461145561694,182374191,-0.000002,-0.000007
Curve,crvUSD,USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,1.0082522765829405,0.9916167797380596,23191633,-0.002163,-0.002180
Curve,USDT,USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0.9987176956501097,1.0010836708893212,182374191,-0.000054,-0.000048
Curve,USDe,USDC,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0.9975154545191821,1.002282256077401,27752702,-0.000462,-0.000474
Curve,DAI,USDT,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,1.0010374413315768,0.9987637777413159,182374191,-0.000045,-0.000052
Curve,crvUSD,USDT,0x390f3595bCa2Df7d23783dFd126427CCeb997BF4,1.0091714667294132,0.9907135697005026,22216470,-0.002602,-0.002616
Curve,stETH,ETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,1.000280763413234,0.9995193775426443,325111972,-0.000199,-0.000199
Curve,frxETH,ETH,0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,1.0018263629824153,0.9977777310248105,44209503,-0.000233,-0.000233
Curve,stETH,ETH,0x828b154032950C8ff7CF8085D841723Db2696056,1.0003081837808137,0.9988922604096704,1160393,-0.002915,-0.002806
Curve,ETHx,ETH,0x59ab5a5b5d617e478a2479b0cad80da7e2831492,0.9837259707372056,1.0157300048139055,6913501,-0.008833,-0.008664
Curve,weETH,ETH,0x13947303F63b363876868D070F14dc865C36463b,0.9694822467250056,1.0312668780594907,2826158,-0.004252,-0.004191
Curve,frxETH,ETH,0x9c3b46c0ceb5b9e304fcd6d88fc50f7dd24b31bc,1.0014730297039343,0.9981297636847877,101109858,-0.000076,-0.000076
Curve,ezETH,ETH,0x85de3add465a219ee25e04d22c39ab027cf5c12e,0.995039283754412,1.004783116605348,4010052,-0.002603,-0.002589
Curve,osETH,rETH,0xe080027bd47353b5d1639772b4a75e9ed3658a0d,1.088676875264251,0.9181787952736878,19918638,-0.000911,-0.000911
Curve,ALETH,frxETH,0xB657B895B265C38c53FFF00166cF7F6A3C70587d,1.1066499577654556,0.9029044117017511,15539842,-0.049102,-0.053869
Curve,pxETH,frxETH,0xe2ed1dac3a9547bc6057e32bf8133b5268d7d987,1.002352317331975,0.9972541514582591,7418672,-0.001521,-0.001509
Curve,stETH,frxETH,0x4d9f9d15101eec665f77210cb999639f760f831e,0.9981625919833818,1.001039474639101,67131984,-0.000166,-0.000166
Curve,ALUSD,crvFRAX,0xb30da2376f63de30b42dc055c93fa474f31330a5,1.0138316228930766,0.9855681129776528,34642101,-0.002029,-0.002025
Curve,eUSD,crvFRAX,0xaeda92e6a3b1028edc139a4ae56ec881f3064d4f,0.9957815228947908,1.0034330284584545,6581853,-0.004521,-0.004557
Curve,ALUSD,3Crv,0x43b4FdFD4Ff969587185cDB6f0BD875c5Fc83f8c,1.0441290003193042,0.9569699116203434,12396205,-0.006165,-0.006117
Curve,LUSD,3Crv,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,1.0334744236781133,0.9668358641339905,14466506,-0.001129,-0.001123
Curve,USDM,3Crv,0xc83b79c07ece44b8b99ffa0e235c00add9124f9e,1.0299829456110294,0.970691332501007,859895,-0.001872,-0.002002
Curve,GHO,crvUSD,0x86152df0a0e321afb3b0b9c4deb813184f365ada,1.0026224935048969,0.9965841070088985,178618,-0.136009,-0.119206
Curve,USDe,crvUSD,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0.9903107787419764,1.0095008022460021,16706396,-0.003081,-0.003099
Curve,USDC,DAI,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0.9999260973899999,0.9998738782010218,182768485,-0.000007,-0.000005
Curve,USDT,DAI,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0.9983891510999999,1.001413094503783,182768485,-0.000075,-0.000071
Curve,USDe,DAI,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0.9965309299090831,1.0026022322795176,16787935,-0.000787,-0.000813
Curve,agEUR,EUROC,0xba3436fd341f2c8a928452db3c5a3670d1d5cc73,1.012770202663456,0.9865999598167378,2485777,-0.057381,-0.053106
Curve,pxETH,stETH,0x6951bdc4734b9f7f3e1b74afebc670c736a0edb6,1.0048432650171861,0.994781805385691,1944332,-0.012370,-0.011892
Curve,rsETH,sfrxETH,0x3772ba91b46f456ae487cb0974040c861c045810,1.082198548864141,0.9231329073517052,5237372,-0.013190,-0.012823
