Weight Strategy,Weighted Median Price,0x02edd21f1db8eb146be60998e9801691e725f119,0x88794c65550deb6b4087b7552ecf295113794410,0x8dd893b9ec19d89b66c01794cf5e04e30d284e53

Buy paired 1%,2214.841339846848,0.46153846153846156,0.07692307692307693,0.46153846153846156
Sell paired 1%,2214.841339846848,0.6,0.2,0.2
Buy paired 2%,2214.841339846848,0.46153846153846156,0.07692307692307693,0.46153846153846156
Sell paired 2%,2214.841339846848,0.6,0.2,0.2
Buy paired 3%,2214.841339846848,0.46153846153846156,0.07692307692307693,0.46153846153846156
Sell paired 3%,2214.841339846848,0.6,0.2,0.2
Buy paired $10k,2219.9290020818644,0.3123806879316927,0.00038179861858318005,0.6872375134497241
Sell paired $10k,2214.841339846848,0.9976831579997562,0.0012193905264441466,0.0010974514737997318
Buy paired $20k,2219.9290020818644,0.22567771186555718,0.0005701331668182497,0.7737521549676246
Sell paired $20k,2214.841339846848,0.9950978338291365,0.0025139313696736078,0.0023882348011899277
Buy paired $50k,2219.9290020818644,0.14072170129664996,0.0008759207937852701,0.8584023779095648
Sell paired $50k,2214.841339846848,0.5324044143931731,0.23615938667011463,0.23143619893671233
Buy paired $100k,2214.841339846848,0.5053263438362946,0.24857972671542983,0.24609392944827552
Sell paired $100k,2214.841339846848,0.40949261796489617,0.2967373779070873,0.29377000412801646
Buy paired $200k,2214.841339846848,0.40148772385714704,0.3000061534550641,0.2985061226877888
Sell paired $200k,2214.841339846848,0.3674153878364828,0.3170850186283294,0.3154995935351878
Buy paired $500k,2214.841339846848,0.35757726284422553,0.32153290147936664,0.32088983567640794
Sell paired $500k,2214.841339846848,0.3461536193690639,0.3272504407562242,0.3265959398747118
Buy paired $1000k,2214.841339846848,0.34502393461081526,0.32765185862390434,0.32732420676528046
Sell paired $1000k,2214.841339846848,0.33963092012135737,0.3303497147967197,0.330019365081923
